"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"127","3008","Y2H20083483","VZS_LIMC","Limmatquai --> Central","20200824000000","20230725000000","Central","","0.5","früher","0","1","0","POINT (2683457 1247064.9)"
"128","3013","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20210324000000","20210921000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"129","3014","U15G3063873","FZS_CHOR","Chorherrenweg","20210325000000","20210921000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680001.2 1250595.2)"
"130","4272","COM25020339","VZS_TUNS","Stadttunnel Süd (Barometer)","20250506000000","","beide Richtungen","---","1.04","aktuell","0","1","0","POINT (2682834 1247926)"
"131","1682","YCH16121210","FZS_QUAN","Quaibrücke Nord (Limmatseite)","20170113000000","20170313000000","Bellevue","Bürkliplatz","1","früher","0","0","1","POINT (2683403.2 1246821.1)"
"132","2961","U15G3063870","FZS_LANN","Langstrasse (Unterführung Nord)","20180413000000","20230323000000","Limmatplatz","Helvetiaplatz","0.32","früher","0","0","1","POINT (2682322 1248435.1)"
"133","3922","U15G3063873","FZS_HARD","Hardeggsteg","20190116000000","20190401000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"134","4241","Y2H21056105","VZS_LAFS","Langstrasse (Fahrbahn Süd)","20210909000000","","Limmatplatz","---","1","aktuell","1","1","0","POINT (2682296.8 1248327.5)"
"135","4242","Y2H21056106","VZS_LAFN","Langstrasse (Fahrbahn Nord)","20210909000000","","Helvetiaplatz","---","1","aktuell","1","1","0","POINT (2682337.2 1248451.1)"
"136","4261","U15G3063865","FZS_ARBO","Arboretum","20230215000000","20230323000000","Stadtgrenze","Innenstadt","1.02","früher","0","0","1","POINT (2682973 1246328.9)"
"137","732","Y2H16069942","VZS_HARN","Hardbrücke Nord (Seite Altstetten)","20160707000000","","Escher-Wyss-Platz","Hardplatz","1.1","aktuell","0","1","0","POINT (2681319.5 1248665.2)"
"138","1037","Y2H16069943","VZS_HARS","Hardbrücke Süd (Seite HB)","20160707000000","","Escher-Wyss-Platz","Hardplatz","1.03","aktuell","0","1","0","POINT (2681339 1248646.8)"
"139","1689","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20170410000000","20171004000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"140","1688","U15G3104443","FZS_CASS","Cassiopeiasteg","20170411000000","20171004000000","Stadtgrenze","Bellevue","0.91","früher","0","0","1","POINT (2683020.2 1244136.2)"
"141","1690","U15G4025180","FZS_CHOR","Chorherrenweg","20170411000000","20171004000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680002 1250595.9)"
"142","2637","Y2H16039396","VZS_LANS","Langstrasse (Unterführung Süd)","20171003000000","20180326000000","Helvetiaplatz","Limmatplatz","1","früher","0","1","0","POINT (2682360 1248448.2)"
"143","3278","U15G4025180","FZS_HARD","Hardeggsteg","20181002000000","20190115000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"144","3279","YSH18065716","FZS_LIMM","Limmatquai","20181001000000","","Rathaus","Seeufer","1.11","aktuell","0","0","1","POINT (2683437 1247198.9)"
"145","3281","U15G3063869","FZS_LETD","Letten / Dynamo","20181001000000","20190401000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682978 1248743.9)"
"146","3917","ECO08011668","VZS_LUXG","Lux-Guyer-Weg","20181221000000","20190307000000","Innenstadt","Wipkingen","1","früher","0","1","0","POINT (2682933 1248820.9)"
"147","3918","ECO06040592","VZS_SCHE","Scheuchzerstrasse","20181221000000","20190307000000","Innenstadt","Irchel","1.05","früher","0","1","0","POINT (2683573 1248544.9)"
